               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11844,            0.062075,                   0,            0.047061,            0.025478,            0.016539,           0.0032716,             0.10644,            0.065048,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10054,            0.068951,                   0,             0.13181,             0.33758,             0.10587,            0.024294,            0.094103,            0.059639,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.086364,            0.056885,                   0,             0.21324,             0.36306,             0.16673,            0.043341,            0.085514,            0.067482,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.080404,            0.049884,                   0,             0.22331,             0.61783,             0.23611,            0.073659,            0.088826,            0.049377,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.081748,            0.045228,                   0,             0.10023,             0.80255,             0.10623,            0.032326,            0.086748,            0.046005,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.078339,            0.043807,                   0,             0.13015,             0.52229,              0.1417,            0.045713,            0.087663,            0.048218,                   0,            0.019753,           0.0087532,           0.0087532
                   6,             0.08072,            0.042105,                   0,             0.38853,              0.6879,             0.41771,             0.16277,            0.078639,            0.040924,                   0,            0.009802,            0.009802,            0.009802
                   7,                0.07,            0.044694,                   0,             0.59321,             0.63161,             0.65994,             0.21839,            0.064635,            0.041275,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.065195,            0.043901,                   0,              0.1541,             0.84076,             0.16916,            0.081752,            0.076338,            0.066154,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.05947,             0.04083,                   0,             0.36269,             0.70323,             0.47321,             0.20398,            0.066371,            0.040367,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.055593,            0.040734,                   0,             0.46554,             0.73235,              0.5657,             0.22335,            0.057546,            0.046074,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.052229,            0.037162,                   0,             0.47934,             0.78344,             0.57746,             0.27578,            0.051901,            0.044121,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.049074,            0.041487,                   0,             0.74953,             0.84076,             0.85636,             0.44933,            0.046298,            0.042572,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.047454,            0.039887,                   0,             0.83419,              0.8535,             0.90679,             0.53501,            0.040257,            0.040321,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.047896,            0.041211,                   0,             0.84659,              0.8535,             0.91561,             0.40652,            0.048366,            0.037239,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.043437,            0.039295,                   0,             0.63712,             0.90446,             0.73127,             0.37432,            0.049254,            0.039459,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.045355,            0.038534,                   0,             0.93011,             0.93238,             0.97774,             0.51284,            0.034662,             0.03595,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.039063,            0.038626,                   0,             0.67868,             0.87445,              0.8257,             0.42032,            0.041599,            0.038101,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.040151,            0.039166,                   0,             0.86824,             0.92994,             0.97298,             0.57937,            0.035893,            0.034248,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.039088,            0.037565,                   0,             0.86217,             0.94904,             0.95857,             0.51481,            0.040752,            0.035805,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.040087,            0.039059,                   0,             0.89758,             0.95541,             0.96871,             0.61149,            0.031768,            0.035767,                   0,            0.009373,            0.009373,            0.009373
